,French,English
0,partie,part
1,histoire,history
2,chercher,search
3,seulement,only
4,police,police
5,pensais,thought
6,aide,help
7,demande,request
8,genre,kind
9,mois,month
10,frère,brother
11,laisser,let
12,car,because
13,aucun,no
14,laisse,leash
15,ville,city
16,chaque,each
17,parlé,speak
18,devrait,should
19,bébé,baby
20,longtemps,long time
21,heures,hours
22,vont,will
23,pendant,while
24,revoir,meet again
25,aucune,any
26,place,square
27,compris,understood
28,savais,knew
29,étaient,were
30,attention,Warning
31,voici,here is
32,pourrais,could
33,affaire,case
34,donner,give
35,leurs,their
36,train,train
37,endroit,place
38,yeux,eyes
39,façon,way
40,écoute,listen
41,dont,whose
42,trouve,find
43,premier,first
44,perdu,lost
45,main,hand
46,première,first
47,côté,side
48,pouvoir,power
49,vieux,old
50,sois,be
51,tiens,here
52,matin,morning
53,tellement,so much
54,enfant,child
55,pardon,sorry
56,venez,come
57,devant,in front of
58,vers,towards
59,minutes,minutes
60,demandé,request
61,chambre,bedroom
62,mis,placed
63,belle,beautiful
64,droit,law
65,aimerais,would like to
66,mari,husband
67,enfin,finally
68,espère,hope
69,eau,water
70,attendez,Wait
71,nouvelle,new
72,arrêter,Stop
73,dirait,would say
74,donne,given
75,loin,far
76,fin,end
77,croire,believe
78,chérie,sweetheart
79,gros,large
80,plutôt,rather
81,aura,will have
82,filles,girls
83,jouer,to play
84,bureau,office
